time;angle;angular velocity;angular acceleration
14.1000000000;0.8468200509;-0.0172485434;-0.7503170554
14.2000000000;0.8413493070;-0.0546788621;-0.7491778973
14.3000000000;0.8321537056;-0.0918647727;-0.7455430541
14.4000000000;0.8192703126;-0.1286789125;-0.7393831422
14.5000000000;0.8027491822;-0.1649909089;-0.7306478269
14.6000000000;0.7826537475;-0.2006665649;-0.7192687513
14.7000000000;0.7590612734;-0.2355672685;-0.7051635257
14.8000000000;0.7320633430;-0.2695496776;-0.6882407188
14.9000000000;0.7017663464;-0.3024657203;-0.6684057647
15.0000000000;0.6682919361;-0.3341629490;-0.6455676578
15.1000000000;0.6317774099;-0.3644852728;-0.6196462643
15.2000000000;0.5923759825;-0.3932740811;-0.5905800226
15.3000000000;0.5502569056;-0.4203697577;-0.5583337511
15.4000000000;0.5056053987;-0.4456135625;-0.5229062300
15.5000000000;0.4586223565;-0.4688498439;-0.4843371811
15.6000000000;0.4095238059;-0.4899285193;-0.4427132452
15.7000000000;0.3585400912;-0.5087077449;-0.3981725553
15.8000000000;0.3059147791;-0.5250566771;-0.3509075344
15.9000000000;0.2519032833;-0.5388582142;-0.3011656087
16.0000000000;0.1967712238;-0.5500116009;-0.2492476249
16.1000000000;0.1407925442;-0.5584347740;-0.1955038851
16.2000000000;0.0842474275;-0.5640663389;-0.1403278607
16.3000000000;0.0274200546;-0.5668670778;-0.0841478034
16.4000000000;-0.0294037362;-0.5668209128;-0.0274166188
16.5000000000;-0.0859388300;-0.5639352780;0.0293994994
16.6000000000;-0.1419031924;-0.5582408806;0.0858330858
16.7000000000;-0.1970201433;-0.5497908683;0.1414274323
16.8000000000;-0.2510204901;-0.5386594492;0.1957479951
16.9000000000;-0.3036444721;-0.5249400375;0.2483925958
17.0000000000;-0.3546434762;-0.5087430196;0.2989999335
17.1000000000;-0.4037814979;-0.4901932525;0.3472560498
17.2000000000;-0.4508363304;-0.4694274066;0.3928985399
17.3000000000;-0.4956004788;-0.4465912725;0.4357184532
17.4000000000;-0.5378818062;-0.4218371362;0.4755599682
17.5000000000;-0.5775039296;-0.3953213188;0.5123180464
17.6000000000;-0.6143063897;-0.3672019587;0.5459343621
